student_id,last_name,first_name,grad_year,kind,code,year_or_date,score_or_credit,safety_net_applied
GN20271234,Goldberg,Maya,2027,course,SS_GLOBAL_I,2024-2025,passed,
GN20271234,Goldberg,Maya,2027,course,SS_GLOBAL_II,2025-2026,passed,
GN20271234,Goldberg,Maya,2027,course,SS_US_HISTORY,2026-2027,in_progress,
GN20271234,Goldberg,Maya,2027,course,AP_US_GOV,2026-2027,passed,
GN20271234,Goldberg,Maya,2027,regents,GLOBAL_II,2026-06-15,87,false
GN20275511,Chen,David,2027,course,SS_GLOBAL_I,2024-2025,passed,
GN20275511,Chen,David,2027,course,SS_GLOBAL_II,2025-2026,passed,
GN20275511,Chen,David,2027,course,SS_US_HISTORY,2026-2027,passed,
GN20275511,Chen,David,2027,course,SS_PIG_ECON,2026-2027,passed,
GN20275511,Chen,David,2027,regents,GLOBAL_II,2026-06-15,72,false
GN20275511,Chen,David,2027,regents,US_HISTORY,2027-06-12,91,false
GN20274432,Patel,Aanya,2027,course,SS_GLOBAL_I,2024-2025,passed
GN20274432,Patel,Aanya,2027,course,SS_GLOBAL_II,2025-2026,passed
GN20274432,Patel,Aanya,2027,course,AP_WORLD_HISTORY,2025-2026,passed
GN20274432,Patel,Aanya,2027,course,AP_US_GOV,2026-2027,passed
GN20274432,Patel,Aanya,2027,regents,GLOBAL_II,2026-06-15,93
GN20277890,Rivera,Sofia,2027,course,SS_GLOBAL_I,2024-2025,passed
GN20277890,Rivera,Sofia,2027,course,SS_GLOBAL_II,2025-2026,passed
GN20277890,Rivera,Sofia,2027,course,SS_US_HISTORY,2026-2027,passed
GN20277890,Rivera,Sofia,2027,course,SS_PIG_ECON,2026-2027,passed
GN20277890,Rivera,Sofia,2027,course,AP_US_GOV,2026-2027,passed
GN20277890,Rivera,Sofia,2027,regents,GLOBAL_II,2026-06-15,89
GN20277890,Rivera,Sofia,2027,regents,US_HISTORY,2027-06-12,86
GN20283344,O'Hara,Sean,2028,course,SS_GLOBAL_I,2025-2026,passed
GN20283344,O'Hara,Sean,2028,course,SS_GLOBAL_II,2026-2027,in_progress
